truck_id,torque,gear,elevation,speed,rpm,voltage,estimated_weight_tonnes,expected_tpt,actual_tpt,stress_index,power_density,rpm_per_gear,status,reasons,actual_weight
truck_003,288.49,6,2.1766096824700494,72.63,1670.93,27.9,11.81,24.43,24.43,8.65,1.81,278.49,Normal,[],11.61
truck_003,309.47,1,9.952187603525022,50.16,1478.66,28.4,12.67,24.43,24.43,61.4,1.69,1478.66,Overload,['High RPM per Gear'],12.57
truck_003,261.7,5,13.12944221929094,57.45,1340.28,28.64,10.71,24.43,24.43,59.8,1.28,268.06,Normal,[],10.38
truck_003,303.07,5,4.908472528079313,64.49,1887.78,28.99,12.41,24.43,24.43,23.07,2.07,377.56,Normal,[],12.77
truck_001,155.22,5,10.571438781015022,28.59,1445.45,27.28,8.01,19.39,19.39,57.4,0.86,289.09,Normal,[],7.74
truck_001,291.94,4,4.140004385633567,56.24,1802.75,26.24,15.06,19.39,19.39,21.49,2.1,450.69,Normal,[],14.52
truck_001,125.8,4,10.4376396119649,20.73,1918.13,26.39,6.49,19.39,19.39,63.34,0.96,479.53,Normal,[],6.75
truck_002,133.22,2,1.850485143570868,33.64,1708.32,24.73,6.5,20.48,20.48,7.33,0.96,854.16,Overload,['High RPM per Gear'],7.02
truck_003,137.55,5,-2.2176761171387627,26.05,1507.22,27.36,5.63,24.43,24.43,-11.71,0.79,301.44,Normal,[],5.84
truck_003,388.8,5,9.144772686267972,29.15,1891.55,26.64,15.91,24.43,24.43,121.96,2.89,378.31,Overload,['High Power Density'],15.19
truck_002,106.83,6,13.687340295380295,75.53,1741.01,23.68,5.22,20.48,20.48,19.36,0.82,290.17,Normal,[],4.93
truck_001,120.26,1,12.397927241242568,51.13,1909.53,25.39,6.2,19.39,19.39,29.16,0.95,1909.53,Overload,['High RPM per Gear'],5.99
truck_001,246.84,2,11.057068971960229,20.28,1600.2,25.39,12.73,19.39,19.39,134.6,1.63,800.1,Overload,['High RPM per Gear'],12.93
truck_001,277.83,3,9.750024962194969,47.13,1469.53,25.71,14.33,19.39,19.39,57.47,1.66,489.84,Normal,[],14.36
truck_003,178.56,1,4.967355454789594,45.14,2297.82,25.17,7.31,24.43,24.43,19.65,1.71,2297.82,Overload,['High RPM per Gear'],6.98
truck_003,172.37,1,-1.4392806626049717,77.66,1378.4,25.49,7.06,24.43,24.43,-3.19,0.98,1378.4,Overload,['High RPM per Gear'],7.33
truck_003,383.41,1,0.9919182353295408,38.6,1676.78,25.56,15.69,24.43,24.43,9.85,2.63,1676.78,Overload,"['High Power Density', 'High RPM per Gear']",15.96
truck_003,222.71,5,4.441338902199984,53.89,1278.85,27.65,9.12,24.43,24.43,18.35,1.08,255.77,Normal,[],8.19
truck_003,246.67,6,3.8152549387645625,44.05,1871.57,23.93,10.1,24.43,24.43,21.37,2.02,311.93,Normal,[],10.33
truck_001,156.46,2,0.4148934628710758,58.64,1690.48,23.15,8.07,19.39,19.39,1.11,1.2,845.24,Overload,['High RPM per Gear'],8.01
truck_002,293.15,1,6.034451905186796,35.23,1435.34,26.03,14.31,20.48,20.48,50.21,1.69,1435.34,Overload,['High RPM per Gear'],14.4
truck_002,174.93,4,-0.2363443790654695,25.97,1491.81,27.33,8.54,20.48,20.48,-1.59,1.0,372.95,Normal,[],8.07
truck_002,287.68,4,13.888194511545468,28.46,1687.67,24.94,14.05,20.48,20.48,140.36,2.04,421.92,Normal,[],13.96
truck_002,68.42,2,13.21248007080608,57.49,1603.04,27.95,3.34,20.48,20.48,15.73,0.41,801.52,Overload,['High RPM per Gear'],4.16
truck_003,288.42,4,11.613090131304991,40.71,2128.6,25.18,11.81,24.43,24.43,82.27,2.55,532.15,Overload,['High Power Density'],11.08
truck_001,155.79,1,4.695567343006923,50.75,2090.02,27.19,8.03,19.39,19.39,14.42,1.25,2090.02,Overload,['High RPM per Gear'],7.53
truck_001,137.26,6,7.901083355386589,45.3,1358.73,28.4,7.08,19.39,19.39,23.94,0.69,226.46,Normal,[],7.09
truck_002,150.8,6,-3.6564920016857982,44.31,1796.96,27.32,7.36,20.48,20.48,-12.44,1.04,299.49,Normal,[],7.27
truck_001,70.33,5,0.2736760526923287,35.99,2078.62,24.5,3.63,19.39,19.39,0.53,0.62,415.72,Normal,[],4.13
truck_001,213.89,2,3.440721191013747,41.23,2350.35,24.11,11.03,19.39,19.39,17.85,2.18,1175.18,Overload,['High RPM per Gear'],11.98
truck_001,205.11,2,-3.635005892918168,70.22,1724.63,28.49,10.58,19.39,19.39,-10.62,1.3,862.32,Overload,['High RPM per Gear'],11.24
truck_003,175.33,6,-2.2999744515758613,49.03,1523.89,26.24,7.18,24.43,24.43,-8.23,1.07,253.98,Normal,[],7.57
truck_003,298.5,3,11.928156986291146,77.31,1385.61,26.74,12.22,24.43,24.43,46.05,1.62,461.87,Normal,[],11.14
truck_002,109.92,1,9.098510993779062,55.9,1751.62,23.46,5.37,20.48,20.48,17.89,0.86,1751.62,Overload,['High RPM per Gear'],5.28
truck_002,275.04,4,14.353987764141728,20.32,1323.71,24.89,13.43,20.48,20.48,194.33,1.53,330.93,Overload,['High Stress Index'],13.59
truck_003,353.45,6,14.163415860078608,65.5,1966.74,27.55,14.47,24.43,24.43,76.42,2.64,327.79,Overload,['High Power Density'],15.01
truck_001,236.38,6,14.611536003599763,74.2,1976.0,27.16,12.19,19.39,19.39,46.55,1.8,329.33,Normal,[],12.31
truck_001,305.41,6,-2.589548424270711,63.86,1431.12,23.69,15.75,19.39,19.39,-12.38,1.93,238.52,Normal,[],15.33
truck_003,375.88,2,9.901290962404408,23.29,1746.17,26.13,15.39,24.43,24.43,159.78,2.63,873.09,Overload,"['High Stress Index', 'High Power Density', 'High RPM per Gear']",15.33
truck_003,94.52,4,4.621237676881728,73.1,1836.32,25.65,3.87,24.43,24.43,5.98,0.71,459.08,Normal,[],4.44
truck_003,121.89,1,5.768029807615751,59.7,2085.43,26.12,4.99,24.43,24.43,11.78,1.02,2085.43,Overload,['High RPM per Gear'],4.78
truck_001,221.68,3,-3.5994058850505795,20.57,1263.22,23.53,11.43,19.39,19.39,-38.79,1.25,421.07,Normal,[],11.39
truck_002,210.51,1,6.615144144546555,36.3,1677.94,23.55,10.28,20.48,20.48,38.36,1.57,1677.94,Overload,['High RPM per Gear'],9.76
truck_003,212.52,3,4.346215330753051,37.82,2223.39,27.29,8.7,24.43,24.43,24.42,1.81,741.13,Overload,['High RPM per Gear'],9.06
truck_001,95.29,1,13.206782041150683,22.71,1331.36,25.35,4.91,19.39,19.39,55.43,0.52,1331.36,Overload,['High RPM per Gear'],4.51
truck_003,386.05,6,7.015968928843961,74.22,2387.02,27.46,15.8,24.43,24.43,36.49,3.51,397.84,Overload,['High Power Density'],15.4
truck_003,213.31,5,7.992932979847369,56.46,1815.23,24.38,8.73,24.43,24.43,30.2,1.66,363.05,Normal,[],8.82
truck_002,181.0,6,14.382052602816229,73.03,2313.3,28.97,8.84,20.48,20.48,35.65,1.51,385.55,Normal,[],8.61
truck_001,143.19,3,10.164769514081826,61.76,1384.68,27.89,7.38,19.39,19.39,23.57,0.74,461.56,Normal,[],7.12
truck_002,212.56,3,-2.4097015743439165,73.32,2346.78,28.17,10.38,20.48,20.48,-6.99,1.85,782.26,Overload,['High RPM per Gear'],11.48
truck_001,145.34,1,6.017147412182787,25.22,1690.14,25.24,7.5,19.39,19.39,34.68,1.02,1690.14,Overload,['High RPM per Gear'],7.95
truck_003,301.39,4,-2.8106227989109223,73.67,2389.77,23.37,12.34,24.43,24.43,-11.5,3.23,597.44,Overload,['High Power Density'],12.68
truck_001,189.3,5,13.1302743888916,54.28,1994.53,26.26,9.76,19.39,19.39,45.79,1.51,398.91,Normal,[],9.77
truck_001,142.09,4,12.011634581884838,72.04,2050.04,28.02,7.33,19.39,19.39,23.69,1.09,512.51,Normal,[],7.2
truck_001,297.03,4,7.372227564303685,65.16,1390.33,28.29,15.32,19.39,19.39,33.6,1.53,347.58,Normal,[],15.16
truck_002,190.89,2,11.359340482381242,69.93,1808.96,23.04,9.32,20.48,20.48,31.01,1.57,904.48,Overload,['High RPM per Gear'],9.59
truck_001,227.5,1,6.1968862461765895,26.95,1652.03,23.05,11.73,19.39,19.39,52.31,1.71,1652.03,Overload,['High RPM per Gear'],11.4
truck_001,261.68,2,3.6448156778502474,70.41,1670.58,24.08,13.5,19.39,19.39,13.55,1.9,835.29,Overload,['High RPM per Gear'],13.36
truck_001,97.4,4,-1.524930493848664,66.25,2336.76,24.0,5.02,19.39,19.39,-2.24,0.99,584.19,Normal,[],5.23
truck_002,249.1,3,12.048293183972952,79.41,2011.26,25.68,12.16,20.48,20.48,37.8,2.04,670.42,Overload,['High RPM per Gear'],12.5
truck_003,135.44,5,2.672245208112436,23.94,2185.82,25.23,5.54,24.43,24.43,15.12,1.23,437.16,Normal,[],5.56
truck_003,178.53,3,4.02774048659351,29.82,2153.77,27.16,7.31,24.43,24.43,24.12,1.48,717.92,Overload,['High RPM per Gear'],7.03
truck_002,271.37,4,8.090224285622705,36.4,2341.04,23.91,13.25,20.48,20.48,60.32,2.78,585.26,Overload,['High Power Density'],13.27
truck_001,315.59,6,10.201881568761944,46.54,1574.34,24.92,16.28,19.39,19.39,69.18,2.09,262.39,Normal,[],15.32
truck_002,127.73,5,-0.992817129025747,72.09,2057.91,26.38,6.24,20.48,20.48,-1.76,1.04,411.58,Normal,[],6.76
truck_003,384.25,5,-1.9268392367777465,47.22,1836.43,23.11,15.73,24.43,24.43,-15.68,3.2,367.29,Overload,['High Power Density'],15.62
truck_001,105.8,5,13.236720699198225,78.05,1422.55,25.77,5.46,19.39,19.39,17.94,0.61,284.51,Normal,[],5.57
truck_002,114.5,4,6.168253451663958,33.53,1392.99,26.91,5.59,20.48,20.48,21.06,0.62,348.25,Normal,[],5.41
truck_001,132.58,3,14.68702814805808,28.97,1757.52,27.08,6.84,19.39,19.39,67.2,0.9,585.84,Normal,[],7.23
truck_002,184.03,5,10.141185352224468,77.16,2289.38,27.35,8.99,20.48,20.48,24.19,1.61,457.88,Normal,[],9.76
truck_003,136.09,1,-2.944151910146686,54.25,1222.04,25.89,5.57,24.43,24.43,-7.38,0.67,1222.04,Overload,['High RPM per Gear'],5.26
truck_001,199.02,5,-3.3498293111915745,69.47,1629.36,24.93,10.26,19.39,19.39,-9.6,1.36,325.87,Normal,[],10.72
truck_002,221.78,6,8.863878816453619,69.29,1249.42,27.02,10.83,20.48,20.48,28.37,1.07,208.24,Normal,[],10.81
truck_003,136.24,1,-3.960574326970552,52.48,2050.87,28.23,5.58,24.43,24.43,-10.28,1.04,2050.87,Overload,['High RPM per Gear'],5.49
truck_002,244.4,4,1.7890038508561208,68.89,1296.14,28.37,11.93,20.48,20.48,6.35,1.17,324.03,Normal,[],11.5
truck_002,303.53,1,-1.7200103802100553,46.32,2069.79,26.56,14.82,20.48,20.48,-11.27,2.48,2069.79,Overload,['High RPM per Gear'],13.81
truck_001,182.19,3,-0.6157202528391137,78.55,1604.27,24.09,9.4,19.39,19.39,-1.43,1.27,534.76,Normal,[],9.75
truck_003,229.91,3,8.006513726938739,31.97,2016.27,23.43,9.41,24.43,24.43,57.57,2.07,672.09,Overload,['High RPM per Gear'],9.2
truck_003,137.43,4,-1.5161332684349271,77.65,1699.09,28.08,5.63,24.43,24.43,-2.68,0.87,424.77,Normal,[],6.44
truck_001,142.43,5,2.9103033969803054,56.37,1917.27,27.76,7.35,19.39,19.39,7.35,1.03,383.45,Normal,[],8.15
truck_003,198.89,3,0.6770905721729008,41.55,1660.62,25.79,8.14,24.43,24.43,3.24,1.34,553.54,Normal,[],7.32
truck_001,252.16,6,-1.4063378225951606,34.25,2365.67,24.09,13.0,19.39,19.39,-10.35,2.59,394.28,Overload,['High Power Density'],12.8
truck_001,86.79,1,-0.0553785119364587,72.24,1734.37,26.09,4.48,19.39,19.39,-0.07,0.6,1734.37,Overload,['High RPM per Gear'],4.83
truck_001,234.42,1,14.38824644670575,35.49,1988.08,24.95,12.09,19.39,19.39,95.04,1.96,1988.08,Overload,['High RPM per Gear'],11.95
truck_001,125.58,3,12.674193393215052,46.52,1597.07,25.69,6.48,19.39,19.39,34.21,0.82,532.36,Normal,[],6.84
truck_002,139.64,4,9.135544337708916,30.02,1401.14,23.22,6.82,20.48,20.48,42.49,0.88,350.29,Normal,[],5.75
truck_001,147.97,4,4.492617514996278,70.65,2166.8,26.51,7.63,19.39,19.39,9.41,1.27,541.7,Normal,[],8.28
truck_003,256.18,6,-3.858262878213703,51.87,2323.93,23.24,10.49,24.43,24.43,-19.06,2.68,387.32,Overload,['High Power Density'],10.7
truck_003,164.04,5,13.677500350558098,38.97,1808.68,23.25,6.71,24.43,24.43,57.57,1.34,361.74,Normal,[],6.7
truck_002,199.3,6,14.03623570846478,58.35,2241.5,25.73,9.73,20.48,20.48,47.94,1.82,373.58,Normal,[],8.77
truck_003,248.54,4,5.644899776525982,27.54,1359.26,23.86,10.17,24.43,24.43,50.93,1.48,339.81,Normal,[],10.26
truck_002,134.29,6,12.362845087550106,30.63,2031.15,28.03,6.56,20.48,20.48,54.21,1.02,338.53,Normal,[],6.42
truck_002,167.4,6,4.943495280168547,57.07,2242.69,26.42,8.17,20.48,20.48,14.5,1.49,373.78,Normal,[],8.49
truck_003,381.69,3,13.817507126761296,69.61,2000.37,26.46,15.62,24.43,24.43,75.77,3.02,666.79,Overload,"['High Power Density', 'High RPM per Gear']",15.17
truck_002,255.46,2,7.099078453810817,39.09,2239.73,28.96,12.47,20.48,20.48,46.4,2.07,1119.86,Overload,['High RPM per Gear'],11.89
truck_001,275.74,4,8.010232955834315,65.91,2310.81,25.63,14.22,19.39,19.39,33.51,2.6,577.7,Overload,['High Power Density'],13.39
